10817MPPA4	AC41HSC3	AC41MPP3	AC63HSCc2	AC63MPPc1	ACC55HSC15	ACC55MPP6	ACHSC19	ACHSC23	ACHSC7	ACHSCc6	ACHSCc8	ACMPP21	ACMPP29	ACMPP31	ACMPPc6	ACMPPc8	BCHHSC4	BCHMPP37	CB112MPPC17	CB112MPPC9	CB112MPPO6
0	6	8	18	16	20	14	9	7	7	10	12	17	6	7	13	13	10	8	0	0	1
0	7	5	7	6	12	10	7	4	3	3	2	3	6	1	8	5	3	2	0	0	0
0	2	0	1	1	3	2	0	2	1	0	0	0	0	2	0	3	1	2	0	0	0
0	5	1	6	8	7	11	10	4	5	3	2	3	4	1	7	2	1	3	0	1	0
0	7	15	14	13	17	16	12	15	8	6	10	11	12	8	18	10	12	9	0	0	0
0	2	2	3	3	7	6	2	4	4	8	4	1	5	2	7	1	3	2	0	0	0
0	0	0	2	1	2	1	1	0	1	1	0	0	0	2	1	2	2	0	1	0	0
0	5	6	12	8	9	11	6	4	7	7	3	11	7	6	4	4	4	4	0	0	0
0	7	7	8	9	16	15	8	7	7	6	3	7	8	6	5	6	3	3	0	0	0
0	4	2	2	5	3	7	1	1	1	1	5	1	2	4	0	1	2	3	0	0	0
0	1	0	0	2	0	2	0	2	0	0	1	1	0	0	0	0	1	1	1	0	0
2	4	4	3	5	11	5	4	2	1	4	5	4	5	2	2	3	1	3	0	0	0
1	1	9	3	4	5	2	4	2	1	1	1	1	4	1	3	0	2	1	0	1	1
0	1	2	4	5	2	3	1	4	3	2	2	2	4	3	3	1	4	1	2	0	1
0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0
4	3	3	6	0	5	9	5	2	6	5	5	3	2	2	2	2	5	2	0	0	0
0	10	3	10	12	10	23	5	8	6	13	8	10	6	8	6	3	7	2	0	0	0
0	3	3	0	5	2	6	2	0	2	2	1	1	3	1	0	2	0	4	0	0	0
1	1	0	0	1	0	1	1	1	1	0	1	1	1	0	0	0	0	0	0	1	1
0	5	5	7	6	13	7	4	7	6	4	8	9	7	4	6	4	2	7	0	0	0
0	1	3	5	6	6	6	3	2	3	0	7	2	2	3	9	3	0	3	0	0	0
0	3	3	4	7	6	4	2	2	0	3	3	0	2	0	2	3	1	1	0	0	0
1	0	0	0	2	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0
0	5	6	6	8	4	3	2	3	5	5	1	6	1	3	4	4	2	3	0	0	0
0	2	6	2	2	4	9	3	1	4	5	2	6	5	1	1	2	3	1	1	0	0
0	1	2	2	3	4	2	0	2	2	2	4	1	1	1	3	2	0	3	0	0	0
0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0
0	6	3	5	2	5	2	1	3	0	2	2	0	1	0	6	4	1	2	0	1	0
0	3	2	4	5	1	4	3	2	2	1	2	2	0	2	8	2	2	1	0	0	0
0	2	5	5	5	4	6	4	2	1	1	2	4	5	2	1	5	2	3	0	0	0
0	0	0	1	1	1	2	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0
0	2	4	4	5	4	8	3	5	9	3	3	5	4	0	5	1	0	4	0	0	0
2	36	24	35	32	44	56	41	32	24	22	25	24	22	19	22	20	21	18	1	0	2
0	7	18	24	15	35	23	10	12	12	12	10	15	21	8	18	12	16	4	1	0	0
1	43	42	62	50	47	56	34	29	20	25	34	33	37	20	40	17	34	30	4	8	9
2	27	18	40	26	32	37	21	26	18	20	12	17	16	14	20	15	20	9	0	0	2
0	9	12	18	22	27	30	18	12	6	10	15	17	16	5	7	19	11	6	1	0	0
0	9	9	24	13	13	27	13	8	14	14	10	13	7	9	14	12	18	8	0	0	0
2	12	9	20	24	17	15	18	14	12	7	17	19	14	12	13	15	20	12	1	2	3
1	22	35	38	26	40	52	32	29	17	17	25	30	22	20	23	28	21	27	1	0	1
1	9	8	23	21	18	23	7	9	8	8	9	15	14	8	5	8	7	13	1	1	1
1	20	10	14	24	16	18	17	10	5	11	19	12	18	13	12	12	12	10	0	0	1
1	17	12	26	19	27	25	16	9	10	12	19	13	21	18	15	17	19	9	2	6	1
1	13	32	24	23	33	43	18	10	11	16	12	22	18	14	17	17	23	9	2	0	1
1	8	10	8	13	17	15	5	12	7	13	6	13	9	6	12	13	7	5	0	1	2
1	16	11	13	9	18	21	8	13	8	5	17	10	16	17	12	12	12	4	0	1	2
2	15	7	21	23	12	20	12	7	9	12	15	10	7	13	7	9	15	5	2	6	1
0	21	15	21	22	18	29	12	16	5	11	10	15	10	6	9	13	18	18	0	1	1
2	4	3	5	7	5	7	4	2	4	4	2	8	6	3	5	6	2	2	0	0	0
0	6	0	3	12	7	8	2	1	5	11	6	10	6	6	5	9	8	3	0	0	1
0	9	4	6	9	14	7	4	4	4	4	1	4	4	6	5	6	4	1	1	0	0
0	3	4	9	5	9	10	2	3	4	1	3	5	6	5	2	5	6	5	0	0	0
0	5	6	5	2	6	4	5	1	3	0	2	1	3	0	2	0	0	0	0	0	0
0	3	3	4	1	2	5	2	1	3	3	5	5	3	2	0	3	2	4	0	0	0
0	3	1	3	4	5	5	5	4	6	1	6	3	0	3	4	5	5	1	0	0	0
0	1	1	4	4	3	6	4	3	2	2	3	1	0	2	0	1	2	2	0	0	2
0	4	1	3	3	3	6	2	3	2	2	1	2	2	1	1	3	1	0	0	0	0
0	0	2	0	4	6	6	2	5	1	5	1	3	3	0	2	3	1	0	0	0	1
0	0	3	6	4	2	6	1	1	2	1	2	1	2	2	2	2	2	0	0	0	1
2	4	1	4	5	2	2	5	0	2	1	1	3	3	4	3	4	3	4	0	0	1
0	4	3	4	7	3	10	1	5	1	1	2	4	3	0	4	2	2	2	0	0	0
0	4	2	3	2	6	7	0	5	1	3	2	3	1	1	5	5	2	2	1	1	1
0	1	2	3	1	2	1	3	1	2	1	4	5	2	1	2	3	0	1	0	0	0
1	9	0	5	6	5	9	1	5	4	3	9	2	4	2	3	5	2	5	1	1	0
0	17	17	31	20	23	28	20	16	15	18	23	15	16	15	10	11	8	7	1	0	0
0	8	3	8	3	9	7	3	5	5	2	4	4	2	6	10	1	5	6	1	0	0
0	12	11	18	22	14	10	7	18	16	19	6	16	12	10	8	10	7	9	0	0	1
1	17	17	23	32	24	25	11	21	12	16	14	11	15	12	12	16	12	13	0	0	1
1	6	7	10	10	1	10	4	5	2	4	3	4	4	2	5	1	5	6	1	0	0
0	10	6	16	11	2	8	6	4	6	3	5	5	9	11	4	9	4	6	0	0	0
0	5	15	9	6	5	8	7	4	4	7	1	3	5	3	6	2	3	7	0	0	0
0	6	7	10	9	9	6	4	4	4	5	6	7	6	3	2	6	4	6	0	3	0
0	4	5	10	5	14	9	4	5	2	5	4	5	1	1	2	3	1	7	2	0	0
0	2	2	5	5	5	5	6	6	3	1	3	5	2	1	5	5	4	2	0	1	1
0	5	7	6	6	7	3	5	3	7	9	6	3	3	3	2	2	3	6	0	2	0
1	10	9	9	15	19	10	4	6	8	5	3	6	4	10	4	4	4	5	0	0	0
0	11	8	6	5	8	11	2	4	5	7	9	4	7	6	1	3	5	5	0	1	0
0	2	7	6	8	7	6	5	4	4	4	8	6	2	3	2	1	8	3	0	0	0
0	4	7	6	5	7	11	0	2	4	0	4	7	5	1	7	2	1	3	1	0	0
1	8	5	18	19	23	17	10	13	11	5	7	7	9	8	10	15	10	11	0	1	1
0	2	1	2	1	1	2	1	2	4	4	4	3	3	0	1	0	2	0	0	0	0
0	1	0	0	1	2	1	1	0	1	2	0	1	1	0	2	0	0	0	0	0	0
0	2	2	3	3	7	4	2	1	3	4	0	7	2	3	0	2	4	2	1	1	0
0	3	2	5	6	1	6	2	3	2	0	2	1	4	1	1	3	1	1	0	0	0
0	0	0	0	2	3	0	1	1	1	0	1	1	0	1	0	1	0	0	0	0	0
0	2	0	4	4	3	6	2	1	1	2	0	4	2	1	2	1	0	0	0	0	0
0	2	0	3	6	5	5	5	1	1	5	3	2	2	1	2	3	3	1	0	0	0
1	3	5	2	2	1	6	0	2	2	4	6	0	0	2	3	1	1	0	0	0	0
0	2	1	1	2	1	1	0	0	1	1	2	1	1	0	1	2	0	1	0	0	0
0	0	2	1	2	3	2	3	0	2	1	0	1	1	0	0	1	1	1	0	0	0
1	4	2	8	0	6	3	4	1	4	2	3	6	0	2	6	1	6	0	0	0	0
0	4	1	5	0	2	1	2	1	1	2	2	0	1	3	1	0	2	1	0	0	1
0	2	7	0	3	1	3	0	0	1	2	2	0	2	3	4	0	1	1	0	0	1
0	2	0	2	1	3	4	0	0	1	0	3	0	0	2	1	3	4	2	0	0	0
0	5	2	3	6	7	4	2	1	1	0	1	1	3	3	1	3	2	3	0	0	1
1	7	2	6	4	9	8	3	3	1	4	3	5	4	3	5	1	1	10	0	2	0
